question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
2hop__107238_64918,2hop,small,0,0.206394
2hop__107238_64918,2hop,small,1,0.11799
2hop__107238_64918,2hop,small,2,0.186234
2hop__107238_64918,2hop,small,3,0.18672
2hop__107238_64918,2hop,small,4,0.286896
2hop__107238_64918,2hop,small,5,0.15473800000000001
2hop__107238_64918,2hop,small,6,0.099236
2hop__107238_64918,2hop,small,7,0.170522
2hop__107238_64918,2hop,small,8,0.258
2hop__107238_64918,2hop,small,9,0.096318
2hop__107238_64918,2hop,small,10,0.186
2hop__107238_64918,2hop,small,11,0.21075
2hop__107238_64918,2hop,small,12,0.07275
2hop__107238_64918,2hop,small,13,0.080246
2hop__107238_64918,2hop,small,14,0.056580000000000005
2hop__107238_64918,2hop,small,15,0.033521999999999996
2hop__107238_64918,2hop,small,16,0.179028
2hop__107238_64918,2hop,small,17,0.117162
2hop__107238_64918,2hop,small,18,0.187398
2hop__107238_64918,2hop,small,19,0.060128
