question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
3hop1__337705_132457_47686,3hop,frontier,0,0.179598
3hop1__337705_132457_47686,3hop,frontier,1,0.039526
3hop1__337705_132457_47686,3hop,frontier,2,0.024092000000000002
3hop1__337705_132457_47686,3hop,frontier,3,0.056788
3hop1__337705_132457_47686,3hop,frontier,4,0.131724
3hop1__337705_132457_47686,3hop,frontier,5,0.17925
3hop1__337705_132457_47686,3hop,frontier,6,0.1755
3hop1__337705_132457_47686,3hop,frontier,7,0.259088
3hop1__337705_132457_47686,3hop,frontier,8,0.117924
3hop1__337705_132457_47686,3hop,frontier,9,0.025668000000000003
3hop1__337705_132457_47686,3hop,frontier,10,0.09225
3hop1__337705_132457_47686,3hop,frontier,11,0.372
3hop1__337705_132457_47686,3hop,frontier,12,0.30075
3hop1__337705_132457_47686,3hop,frontier,13,0.019504
3hop1__337705_132457_47686,3hop,frontier,14,0.051864
3hop1__337705_132457_47686,3hop,frontier,15,0.044722
3hop1__337705_132457_47686,3hop,frontier,16,0.113418
3hop1__337705_132457_47686,3hop,frontier,17,0.091798
3hop1__337705_132457_47686,3hop,frontier,18,0.20175
3hop1__337705_132457_47686,3hop,frontier,19,0.17325
